,word,candidates
4017,ඉස්සරහට,"['ඉස්සරහ', ' ඉස්සරට']"
4018,දර්ශනයට,"['දර්ශනය', ' දර්ශනට']"
4019,ගැලපෙන,"['ගැලෙන', ' ගැළපෙන']"
4020,තරුණයෝ,['තරුණය']
4021,කරුවකු,['කරුව']
4022,මගින්ද,"['මගින්', ' මන්ද']"
4023,මෝදර,['මෝර']
4024,පතක්,['පත']
4025,මිදීමේ,"['මිදී', ' දීමේ']"
4026,ගැසූහ,['ගැසූ']
4027,අධිෂ්ඨානයක්,['අධිෂ්ඨානය']
4028,වට්ටි,['වටි']
4029,පරමාණුව,['පරමාණු']
4030,අනුකම්පාව,['අනුකම්පා']
4031,පිරිනැමීමේ,"['පිරිනැමී', ' පිරිනැමේ']"
4032,කිව්වේ,"['කිවේ', ' කිව්']"
4033,වීරයන්,"['රයන්', ' වීරය']"
4034,ගැනයි,"['නයි', ' ගැන']"
4035,ගුරුවරියක,['ගුරුවරිය']
4036,පාඩමක්,['පාඩම']
4037,මුඛයේ,['මුඛ']
4038,පෙත්තක්,"['පෙතක්', ' පෙත්ත']"
4039,හොයල,['හොය']
4040,රටවලත්,['රටවල']
4041,වේදනාවෙන්,['වේදනාවෙ']
4042,ආජීව,"['ජීව', ' ආව']"
4043,කියනුයේ,"['කියනු', ' යනුයේ']"
4044,දත්වල,['දවල']
4045,මහනුවරට,['මහනුවර']
4046,ගත්ත,"['ගතත්', ' ගත']"
4047,වංශයට,"['වංසයට', ' වංශය']"
4048,වන්දනාවට,['වන්දනාව']
4049,පැනල,"['නල', ' පැල', ' පැන']"
4050,තියෙන්නෙත්,['තියෙන්නෙ']
4051,සිරවී,"['සිර', ' රවී']"
4052,කබොක්,"['කොක්', ' බොක්ක']"
4053,කළින්,"['කන්', ' කලින්']"
4054,බිත්තියට,['බිත්තිය']
4055,බියකරු,['බියක']
4056,දෙකටම,"['දෙකම', ' දෙකට']"
4057,ගතවේ,['ගත']
4058,හිමිකරුවා,['හිමිකරු']
4059,යාපනයට,"['යාපනය', ' යානයට']"
4060,සැකසේ,"['සැක', ' කසේ']"
4061,හැසිරුණු,['හැරුණු']
4062,මතයේ,['මත']
4063,එලිසබෙත්,['එලිසබත්']
4064,සීරීම්,['සීරී']
4065,පසෙකට,"['පසෙක', ' පසකට']"
4066,කල්පනාවෙන්,['කල්පනාවෙ']
4067,ටිකිරි,['කිරි']
4068,දාවිත්,"['විත්', ' දාවි']"
4069,නංගි,['නං']
4070,එතුමාගෙන්,"['තුමාගෙන්', ' එතුමාගෙ']"
4071,කරත්,"['කර', ' රත්', ' කත්']"
4072,සැකයකි,['සැකය']
4073,ශීතකරණය,['ශීතකරණ']
4074,ලාංකිකයෝ,['ලාංකිකය']
4075,සංහාරය,['සංහාර']
4076,පවසති,"['පවස', ' පවති', ' වසති']"
4077,දකිමින්,"['දමින්', ' දකිමි']"
4078,මානයේ,['මාන']
4079,ආශිර්වාදයක්,['ආශිර්වාදය']
4080,විභූතිය,['විභූති']
4081,රැකිය,"['රැය', ' රැයකි', ' කිය']"
4082,අවස්ථාවෙන්,"['අවස්ථාවෙ', ' අවස්ථාවන්']"
4083,පසුදින,['පදින']
4084,මිටියක්,['මිටිය']
4085,දවසකින්,['දවසකි']
4086,හිස්ව,"['ස්ව', ' හිස්']"
4087,මනාලියගේ,['මනාලිය']
4088,එකකින්,['එකකි']
4089,ගේන්න,"['ගේන', ' න්න']"
4090,අම්මට,['අම්ම']
4091,වීරයකු,['වීරය']
4092,බෙදන,"['බදන', ' බෙන', ' බෙද']"
4093,ඇරෙන්න,['ඇරෙන']
4094,අල්ලන්න,['අල්ලන']
4095,කුණාටුවක්,['කුණාටුව']
4096,සිතුවා,"['සිවා', ' තුවා']"
4097,බිසවට,['බිසව']
4098,පැරැණි,['පැණි']
4099,සසුන්,"['සුසන්', ' සන්']"
4100,කොල්ලය,"['කොල්ල', ' කොලය']"
4101,ඛේදවාචකය,['ඛේදවාචක']
4102,මාළුවා,['මාළු']
4103,සතාට,['සතා']
4104,අල්මාරිය,['අල්මාරි']
4105,නොකී,['නො']
4106,යෑමටත්,"['මටත්', ' යෑමත්', ' යෑමට']"
4107,හිසරදයක්,['හිසරදය']
4108,අර්ථකථනය,['අර්ථකථන']
4109,දණ්ඩනය,"['දණ්ඩන', ' දණ්ඩය']"
4110,කෝපය,['කෝප']
4111,හේත්තු,"['හේතුත්', ' හේත්', ' හේතු']"
4112,දියවඩන,['දියවන']
4113,අරභයා,"['අරබයා', ' අරයා']"
4114,ගඳක්,['ගඳ']
4115,නටමින්,"['නටමි', ' නමින්']"
4116,සීමන්,"['මන්', ' සීන්']"
4117,මුවාවෙන්,['මුවෙන්']
4118,කාලයේත්,"['කාලයේ', ' කාලත්']"
4119,ලියුමක්,['ලියුම']
4120,ඇරියේ,['ඇයේ']
4121,නායකත්වයේ,['නායකත්ව']
4122,සලකමින්,"['සලමින්', ' සලකමි']"
4123,ගැසෙන,['සෙන']
4124,පිදිය,"['දිය', ' පිය']"
4125,පුදන,"['පුද', ' දන']"
4126,උණත්,"['උත්', ' උණ', ' උනත්']"
4127,තැනම,"['නම', ' තැන']"
4128,ජීවියා,"['වියා', ' ජීවි']"
4129,සිහිනෙන්,['සිහිනෙ']
4130,ගතියක්,['ගතිය']
4131,පිළිමයේ,['පිළිම']
4132,කේන්තිය,['කේන්ති']
4133,ඉෂාන්,"['ෂාන්', ' ඉන්']"
4134,යදින,"['යදි', ' දින', ' යන', ' නදිය', ' දිනය']"
4135,රත්නයේ,['රත්න']
4136,අනුභවය,"['අනුවය', ' අනුභව']"
4137,දෙන්නෙක්,"['දෙන්නෙ', ' දෙනෙක්']"
4138,මාරුවට,"['රුවට', ' මාරුව']"
4139,දුගඳ,['ගඳ']
4140,බලලා,"['බල', ' ලබලා']"
4141,ඒකෙ,"['ඒක', ' කෙ']"
4142,ගෙඩිගේ,['ගෙඩි']
4143,ඉවසිය,['ඉසිය']
4144,පැවසීම,"['පැසීම', ' පැවසී']"
4145,බිමන්,"['බින්', ' මන්', ' බිම']"
4146,ගුවන්විදුලිය,['ගුවන්විදුලි']
4147,තුරුණු,['තුරු']
4148,දෙසීය,['දෙය']
4149,මිටක්,"['ටක්', ' මිට']"
4150,භාණ්ඩයේ,['භාණ්ඩ']
4151,පලයන්,"['පලය', ' ලයන්']"
4152,සම්භාවනාවට,['සම්භාවනාව']
4153,ජීවින්,['ජීවි']
4154,හලක්,"['හල', ' ලක්', ' හක්']"
4155,හිමිදිරියේ,['හිමිදිරි']
4156,වියට,"['යට', ' විය', ' විටය', ' විට']"
4157,බොමින්,['බොමි']
4158,එන්නට,['එන්න']
4159,මුහුණත,['මුහුණ']
4160,කියතොත්,"['යතොත්', ' කියතත්']"
4161,හසුරුවන,['හසුවන']
4162,එල්ලෙමින්,['එල්ලමින්']
4163,වත්තට,['වත්ත']
4164,දැමිණි,"['මිණි', ' දැමිනි']"
4165,පුරයේ,['පුර']
4166,පාලකයෙක්,['පාලකයක්']
4167,අනාත්ම,['අනාත්']
4168,පැරණිම,['පැරණි']
4169,ගෙයක,['ගෙය']
4170,පිළිකාවක්,['පිළිකාව']
4171,නිමක්,"['නික්ම', ' මක්', ' නිම']"
4172,සැමියාට,['සැමියා']
4173,චරිතයේ,['චරිත']
4174,ඇමතූ,['ඇමත']
4175,පඳුර,['පර']
4176,හිතවත්කමක්,['හිතවත්කම']
4177,ඉවසීමේ,['ඉසීමේ']
4178,අයුක්තිය,['යුක්තිය']
4179,ගැහැට,"['ගැට', ' හැට']"
4180,මනාලිය,"['නාලිය', ' මනාලි']"
4181,මනාලයා,"['මනාල', ' මලයා']"
4182,කෝසල,"['කෝල', ' කෝස', ' කසල']"
4183,වෑයම,"['යම', ' වෑය']"
4184,හදපු,['හද']
4185,පත්වෙන,['පත්වන']
4186,දෙකඩ,"['දෙඩ', ' දෙක']"
4187,ඇතිවී,['ඇති']
4188,බාධාවකි,['බාධාව']
4189,ඉතිහාසයෙන්,"['ඉතිහාසෙන්', ' ඉතිහාසයෙ']"
4190,අගුණ,"['අගු', ' අණ', ' ගුණ']"
4191,සංඝරත්නයට,['සංඝරත්නය']
4192,විචාරකයන්ගේ,['විචාරකයන්']
4193,විදීමට,"['විඳීමට', ' දීමට', ' විමට', ' විදීම']"
4194,නිරුවත්,"['නිරුත්', ' රුවත්']"
4195,අරාබියේ,['අරාබි']
4196,දොරේ,['දරේ']
4197,ලේඛකයකු,['ලේඛකය']
4198,ගැටයක්,['ගැටය']
4199,ඔයත්,"['යත්', ' ඔය', ' ඔත්']"
4200,බිරියට,"['බිරිය', ' බියට']"
4201,පුවත්පතකට,"['පුවත්පතක', ' පුවත්පතට']"
4202,සැකසී,"['කසී', ' සැක']"
4203,නූගත්,['නගත්']
4204,අම්මේ,['අම්']
4205,එනකම්,"['එනම්', ' එකනම්']"
4206,අස්ගිරිය,['අස්ගිරි']
4207,සම්පතකි,['සම්පත']
4208,අසුර,"['අසු', ' සුර', ' අර']"
4209,හැදුවා,['දුවා']
4210,නැවට,"['නැට', ' වට', ' නැව']"
4211,සහෝදරිය,['සහෝදරි']
4212,වරායක්,"['රාවයක්', ' වරාය']"
4213,ගසෙන්,"['ගෙන්', ' සෙන්']"
4214,පිළිතුරකි,['පිළිතුර']
4215,යුවල,"['යුවළ', ' වල']"
4216,හිතවාදී,['හිතවා']
4217,බුද්ධියක්,['බුද්ධිය']
4218,ඉගැන්වේ,['ගැන්වේ']
4219,අකුසලය,"['කුසලය', ' අකුසල']"
4220,පුරාණයේ,['පුරාණ']
4221,පෙන්,"['පෙ', ' පන්']"
4222,සෝභිත,['සෝත']
4223,ජීවිතයත්,"['ජීවිතත්', ' ජීවිතය']"
4224,අවදියෙන්,['අවදියෙ']
4225,කම්කරුවන්ට,['කම්කරුවන්']
4226,පැමිණියා,['පැමිණි']
4227,කඳුවැටිය,['කඳුවැටි']
4228,වැනසී,"['නසී', ' වැන', ' වැසී']"
4229,රටකින්,['රටකි']
4230,තියෙන්න,"['තියන්න', ' තියෙන']"
4231,පුදුමය,['පුදුම']
4232,පිරිලා,"['පිරි', ' පිලා', ' රිලා']"
4233,සිදුවීමයි,['සිදුවීම']
4234,සිතුවමක්,['සිතුවම']
4235,සතුටුයි,"['සතුයි', ' සතුටු']"
4236,රූපයට,['රූපය']
4237,බලපෑවා,"['බලවා', ' බලපෑ']"
4238,නොකා,['නො']
4239,පින්තූරයක්,['පින්තූරය']
4240,වීමද,"['වීම', ' මද']"
4241,පවසනවා,"['වසනවා', ' පවසන']"
4242,දෛවය,['දෛව']
4243,යත්ම,"['යම', ' යත්']"
4244,එකතුවී,['එකතු']
4245,සාදයි,"['සායි', ' සාද', ' දයි']"
4246,පත්වූහ,['පත්වූ']
4247,බමුණු,"['බමුනු', ' මුණු']"
4248,අශ්වයන්,['අශ්වය']
4249,කෙනා,"['කනා', ' කෙ']"
4250,හැටිත්,['හැටි']
4251,ජුලියන්,['ලියන්']
4252,මිතුරන්ට,['මිතුරන්']
4253,පොදි,"['පදි', ' පො']"
4254,පිරිසයි,['පිරිස']
4255,ශික්ෂණය,"['ක්ෂණය', ' ශික්ෂණ']"
4256,පඤ්ච,['පච']
4257,ගැහැනියක්,"['ගැහැනිය', ' ගැහැණියක්']"
4258,පොද,"['පද', ' පො']"
4259,තරුණයකු,['තරුණය']
4260,පවුරු,['පවු']
4261,සිරියාව,['සිරියා']
4262,කැමරාවේ,['කැමරා']
4263,කැදවා,"['දවා', ' කැඳවා']"
4264,අවසානයක්,['අවසානය']
4265,දෙයයි,"['දෙය', ' දෙයිය']"
4266,සිතීමට,['සිතීම']
4267,ආමිස,"['මිස', ' ආස', ' ආමිෂ']"
4268,සිතුම්,['සිම්']
4269,ඝාතනයෙන්,['තනයෙන්']
4270,අම්මලා,['අම්ම']
4271,යාමය,['යාය']
4272,වැසියකු,['වැසිය']
4273,දුන්නෙ,['දුන්න']
4274,රථයෙන්,['රථයෙ']
4275,නැඟූ,"['නැඟ', ' නැගූ']"
4276,පිටියෙන්,"['පියෙන්', ' පිටියෙ']"
4277,රාවයක්,"['රාවය', ' වරායක්']"
4278,මෙහෙන්,['මෙහෙ']
4279,දේශපාලනයේ,['දේශපාලන']
4280,නෙත,"['තනෙ', ' තෙන', ' නෙ']"
4281,බෝම්බය,['බෝම්බ']
4282,හැන්දෑවට,['හැන්දෑව']
4283,වේගයට,['වේගය']
4284,මැවීම්,"['වීම්', ' මැවී']"
4285,කැලෑවේ,"['කැවේ', ' කැලෑ']"
4286,පැහැදුණු,['හැදුණු']
4287,සිරියාවට,['සිරියාව']
4288,නොකරති,['නොකර']
4289,නොවුණත්,"['නොවුනත්', ' නොවුණ']"
4290,සැටිත්,"['සැටි', ' සැත්']"
4291,පාළුව,"['පාලුව', ' පාව', ' පාළු']"
4292,වැස්සට,['වැස්ස']
4293,කැඳවනු,['කැඳව']
4294,තාත්තලා,['තාත්ත']
4295,මිතුරාගේ,['මිතුරා']
4296,රාශිය,['රාශි']
4297,අධිකාරම්,"['අධිකාර', ' අදිකාරම්']"
4298,පීඩනයකට,"['පීඩනයට', ' පීඩනයක']"
4299,කව්ද,['කව්']
4300,නළලේ,['නළ']
4301,ආදරයේ,"['ආදර', ' ආරයේ']"
4302,බුද්ධගයාවේ,['බුද්ධගයා']
4303,ගෙන්න,"['ගන්නෙ', ' ගන්න', ' ගෙන']"
4304,ගත්තොත්,['ගත්තත්']
4305,පර්වතයක්,['පර්වතය']
4306,කියන්නම්,"['යන්නම්', ' කියන්න']"
4307,උදාවී,['උදා']
4308,එක්විය,['එවිය']
4309,සුවයක්,['සුවය']
4310,හනුවේ,['හනු']
4311,අයිතිවාසිකමක්,['අයිතිවාසිකම']
4312,පෝලියෝ,['පලිය']
4313,වෙලේ,"['වලේ', ' වෙළේ']"
4314,පිළිගනිමින්,['පිළිගනිමි']
4315,උණ්ඩයක්,['උණ්ඩය']
4316,වස්තුවකි,['වස්තුව']
4317,රංචුවක්,['රංචුව']
4318,ඉල්ලමින්,['ඉල්ලමි']
4319,නිලමේ,"['නිල', ' නිළමේ']"
4320,හිමියා,['හිමි']
4321,මුඛයට,['මුඛය']
4322,වඳින්න,"['වඳින', ' වන්න', ' වදින්න']"
4323,සහෝදරයාගේ,['සහෝදරයා']
4324,පල්ලියට,"['පල්ලිය', ' පලියට']"
4325,තුනයි,"['නයි', ' තුන']"
4326,සිරුරින්,"['සිරින්', ' රුසිරින්']"
4327,අවධියක්,"['අවධිය', ' අවදියක්']"
4328,අවස්ථාවකට,"['අවස්ථාවට', ' අවස්ථාවක']"
4329,දෂ්ට,['දට']
4330,සැනසීමක්,['සැනසීම']
4331,එගොඩ,['ගොඩ']
4332,කොයි,"['කො', ' කයි']"
4333,ඉවත්වී,['ඉවත්']
4334,පටවා,"['පවා', ' පට']"
4335,අම්මයි,['අම්ම']
4336,දේශනයට,"['දේශයට', ' දේශනය']"
4337,පත්තිනි,['පතිනි']
4338,උත්සවයකට,"['උත්සවයට', ' උත්සවයක']"
4339,පෙනුමෙන්,"['පෙනුමෙ', ' පෙමෙන්']"
4340,හිසෙහි,"['හිසෙහි', ' සෙ']"
4341,ශාලාවකට,"['ශාලාවක', ' ශාලාවට']"
4342,නදිය,"['දිය', ' නදි', ' නය', ' යදින', ' දිනය']"
4343,ඒකාන්තයෙන්,['කාන්තයෙන්']
4344,සිරුරක්,['සිරුර']
4345,කොල්ලකා,['කොල්ල']
4346,ළපටි,['පටි']
4347,පුරුද්දට,['පුරුද්ද']
4348,උද්ඝෝෂණයට,['උද්ඝෝෂණය']
4349,අම්මෙ,['අම්ම']
4350,සොහොයුරියන්,['සොහොයුරිය']
4351,පවතිනු,['පවති']
4352,විශ්මිත,['විශ්මි']
4353,අමාරුයි,['අමාරු']
4354,වැසෙන,['සෙන']
4355,විදුලියේ,['විදුලි']
4356,දොළහක්,['දොළහ']
4357,ස්වර්ගයට,"['ස්වර්ගය', ' වර්ගයට']"
4358,බෙරය,['බෙර']
4359,මල්ලිත්,"['මල්ලි', ' මලිත්']"
4360,කලකිරීමට,['කලකිරීම']
4361,යෙදෙන්නට,['යෙදෙන්න']
4362,චරිතයකි,['චරිතය']
4363,කොන්ද,"['කන්ද', ' කොන්']"
4364,රටාවට,['රාව']
4365,ගවේෂණයේ,['ගවේෂණ']
4366,කාලෝ,"['ලෝකා', ' ලෝ', ' කාල']"
4367,ෆොන්සේකාගේ,['ෆොන්සේකා']
4368,දේවාලයට,['දේවාලය']
4369,භටයා,['භට']
4370,යද්දී,['යදී']
4371,පත්තරයක්,['පත්තරය']
4372,පක්ෂයයි,"['පක්ෂය', ' පක්ෂි']"
4373,දිසාවට,"['දිසාව', ' දිසාට']"
4374,කරවීය,"['කරවී', ' කරය']"
4375,කරුවෝ,['කරුව']
4376,කරගත්හ,"['කරගත්', ' කරගහ']"
4377,සමතලා,['සමත']
4378,තිස්සෙ,['තිස්ස']
4379,නමයි,"['නයි', ' මයි', ' මයින', ' නම']"
4380,වළෙන්,"['වලෙන්', ' වෙන්', ' ළෙන්']"
4381,ඥාතියාගේ,['ඥාතියා']
4382,කුණාටුව,['කුණාටු']
4383,අතහැරලා,['අතහැර']
4384,හැමෝටම,['හැමෝම']
4385,ලියලා,['ලිය']
4386,මහත්තයාට,['මහත්තයා']
4387,පැමිණෙන්නට,['පැමිණෙන්න']
4388,විස්මයට,['විස්මය']
4389,පටිය,"['පය', ' පටි']"
4390,සෙබළුන්,"['සෙබළු', ' සෙබලුන්']"
4391,හැඟීමකි,['හැඟීම']
4392,විකට,"['වික', ' කට', ' විට', ' විටක']"
4393,කථාවෙන්,"['කතාවෙන්', ' කවෙන්', ' කථාවෙ']"
4394,මතයයි,['මතය']
4395,මෙතනට,['මෙතන']
4396,කැටපත්,['කැටත්']
4397,පවුරේ,"['පවු', ' පරේ']"
4398,වටවූ,"['වටව', ' වටවූ']"
4399,කර්මාන්තයකි,['කර්මාන්තය']
4400,පොවා,"['පවා', ' පො']"
4401,ලිවීමෙන්,"['ලිවීමෙ', ' වීමෙන්']"
4402,මැදුරට,"['මැදුර', ' දුරට']"
4403,කෑමක්,"['මක්', ' කෑම']"
4404,අද්භූත,['අභූත']
4405,දළඳා,"['දළ', ' දළදා']"
4406,මාර්ගයකි,['මාර්ගය']
4407,කොළයක්,"['කොළය', ' කළයක්', ' කොළක්', ' කොලයක්']"
4408,නිවැසියන්ට,"['නිවැසියන්', ' වැසියන්ට']"
4409,යහමින්,"['යමින්', ' යහන්']"
4410,මන්දයත්,['මන්දය']
4411,විනීත,['විනී']
4412,වේදිකාවක්,['වේදිකාව']
4413,සමහරුන්,['සමහරු']
4414,ජීවයක්,['ජීවය']
4415,දහයකින්,['දහයකි']
4416,යාළුවො,"['යාළුව', ' යාලුවො']"
4417,එකතුවෙලා,['එකතුවෙ']
4418,විහිළුවක්,"['විහිළුව', ' විහිලුවක්']"
4419,දේවාලයක,['දේවාලය']
4420,බොනවා,['බොන']
4421,ඇරිලා,['රිලා']
4422,පෙනි,['පෙ']
4423,හින්ද,['හිද']
4424,කොහෙද,['කොහෙ']
4425,පරදා,"['රදා', ' පර']"
4426,කුඹුරට,"['කුඹුර', ' කුබුරට']"
4427,ඛේදනීය,['ඛේදය']
4428,පැදුරු,['දුරු']
4429,හිතල,"['තල', ' හිල', ' හිත']"
4430,අම්මාත්,"['අම්ත්', ' අමාත්', ' අම්මා']"
4431,දුවට,"['දුව', ' වට']"
4432,පුදුමයක්,['පුදුමය']
4433,කියවේ,"['කිවේ', ' කිය']"
4434,නොදත්,['නොත්']
4435,ගැබ්ව,['ගැබ්']
4436,බාධාව,"['බාව', ' බාධා']"
4437,ඉතිරී,"['ඉති', ' ඉරී']"
4438,විරුද්ධත්වයක්,['විරුද්ධත්වය']
4439,ආයෙත්,"['ආයෙ', ' ආයත්']"
4440,පෙන්වාදී,['පෙන්වා']
4441,මිනිස්සුන්ට,['මිනිසුන්ට']
4442,දාඩිය,['ඩිය']
4443,යතුරක්,['යතුර']
4444,පරාද,['පද']
4445,දීපන්,"['පන්', ' දීන්', ' දීප']"
4446,යැවීමෙන්,['වීමෙන්']
4447,ලැබීමයි,"['ලැබීම', ' බීමයි']"
4448,අග්නි,['අනි']
4449,මහිමයෙන්,['මහිමෙන්']
4450,මඩුගල්ලේ,['මඩුල්ලේ']
4451,පිළිගැනීමයි,['පිළිගැනීම']
4452,අවතාර,['අවර']
4453,සැදැහැවතුන්ගේ,['සැදැහැවතුන්']
4454,අමනාප,['මනාප']
4455,හඬත්,"['හඬ', ' හත්', ' හඩත්']"
4456,නිකලස්,['කලස්']
4457,මිතුරිය,['මිතුරි']
4458,සොයන්නට,['සොයන්න']
4459,නෙතට,"['තෙනට', ' නෙත']"
4460,ඉතාලියට,['ඉතාලිය']
4461,මවත්,"['වත්', ' මත්', ' මව', ' වමත්', ' වත්ම']"
4462,පියාත්,"['යාත්', ' පිත්', ' පියා']"
4463,ගල්වා,['ගල්']
4464,මොනරා,"['මොන', ' නොමරා']"
4465,පැත්තේ,['පැත්']
4466,වංශයේ,"['වශයේ', ' වංශ', ' වංසයේ']"
4467,එරටින්,['රටින්']
4468,ගියෙමි,['ගියෙ']
4469,හිතට,"['තට', ' හිට', ' හිත']"
4470,අයියාට,"['අයිට', ' අයියා']"
4471,රථයකින්,['රථයකි']
4472,ස්වර්ගයේ,"['ස්වර්ග', ' වර්ගයේ']"
4473,මාපකයේ,['මාපක']
4474,දෙන්නත්,"['දන්නත්', ' දෙන්න']"
4475,මීටරයක්,['මීටරය']
4476,පැටියාගේ,['පැටියා']
4477,ලිස්සන,['ලිස්ස']
4478,පාදයට,['පාදය']
4479,බංකරය,['බංකර']
4480,බලපෑමකින්,['බලපෑමකි']
4481,සමාජයටත්,"['සමාජයට', ' සමාජයත්']"
4482,දඩයක්,['දඩය']
4483,කල්පනාව,['කල්පනා']
4484,වඳින්නට,"['වඳින්න', ' වදින්නට', ' වන්නට']"
4485,ඇත්තන්ගේ,['ඇත්තන්']
4486,අනූ,['අන']
4487,කොහොමටත්,['කොහොමත්']
4488,තිවංක,['වංක']
4489,වැවීම,"['වීම', ' වැවී']"
4490,එතුමෝ,['තුමෝ']
4491,සතුටකි,['සතුට']
4492,නංවන්න,"['නවන්න', ' නංවන']"
4493,කාමරේ,"['කාම', ' මරේ', ' කාරේ']"
4494,දේවියට,"['වියට', ' දේවිට', ' දේවිය']"
4495,මාටින්,['ටින්']
4496,පද්මය,['පද්ම']
4497,ආශාවක්,['ආශාව']
4498,පවුලකින්,['පවුලකි']
4499,සතුරාට,"['සතුරා', ' සරාට', ' සතුට']"
4500,ගයමින්,"['යමින්', ' ගයමි', ' ගයන්']"
4501,ලැජ්ජාවක්,['ලැජ්ජාව']
4502,බේරෙන්න,"['බේරෙන', ' බේරන්න']"
4503,ලෝභ,['ලෝ']
4504,දෑසින්,['දෑන්']
4505,මොහොතකින්,['මොහොතකි']
4506,වාඩිවී,['වාඩි']
4507,දසුනක්,"['දසුන', ' දනක්']"
4508,බෑගයේ,"['බෑයේ', ' බෑග']"
4509,සලකති,['සලති']
4510,දුම්රියක්,['දුම්රිය']
4511,බුක්ති,['බුක්']
4512,තිබුණොත්,"['තිබුනොත්', ' තිබුණත්']"
4513,බොඳ,['බඳ']
4514,නාමයක්,"['නාමය', ' නායක්']"
4515,මිදෙන්න,"['මිදෙන', ' දෙන්න']"
4516,ඇසුරට,['ඇසුර']
4517,හිටිය,"['හිය', ' හිටි']"
4518,යාමයේ,"['යාම', ' යායේ']"
4519,සේවිකාවන්ගේ,"['සේවිකාවන්', ' සේවිකාවගේ']"
4520,බලාපොරොත්තුවෙනි,['බලාපොරොත්තුවෙ']
4521,තොරණ,"['තරණ', ' තොර']"
4522,දේපල,"['දේපළ', ' පල']"
4523,කටකතා,"['කටක', ' කටකතා']"
4524,මැදවල,['දවල']
4525,වැඩිවෙයි,['වැවෙයි']
4526,විචාරකයෝ,['විචාරකය']
4527,සන්ධානයට,['සන්ධානය']
4528,ජාතිකයකු,['ජාතිකය']
4529,පසුවයි,"['පසුව', ' පසුයි', ' සුවයි', ' පවයි']"
4530,නිව්යෝර්ක්,['නිව්යෝක්']
4531,පැටවාගේ,['පැටවා']
4532,උඹලා,"['උබලා', ' උඹ', ' උලා']"
4533,සයුර,['සර']
4534,වෙත්,['වත්']
4535,ගිලිහුණු,['ලිහුණු']
4536,කඳුළින්,"['කළින්', ' කඳුලින්']"
4537,සමීපයේ,['සමීප']
4538,හැදිලා,['හැදි']
4539,ධර්මයක්,['ධර්මය']
4540,නඩුවක,"['නඩුව', ' නවක']"
4541,කවිවල,['කවල']
4542,ඔටුන්න,['ඔන්න']
4543,දේවියගේ,"['දේවිගේ', ' දේවිය']"
4544,කුමරියගේ,['කුමරිය']
4545,ගැටීම්,"['ගැටී', ' ටීම්']"
4546,දිගුවක්,['දිගුව']
4547,කාලෙට,"['කාලෙ', ' කාලට']"
4548,භක්තියකින්,['භක්තියකි']
4549,නෙවේ,"['නවේ', ' නෙ']"
4550,උන්ගේ,"['උගේ', ' උන්']"
4551,අහරක්,"['අහක්', ' හරක්', ' අහර', ' අරක්']"
4552,සිඟමන්,['සිමන්']
4553,මෙහිදි,['මෙහි']
4554,පැනයට,"['පැනය', ' පැනට', ' නයට', ' පැයට']"
4555,සිදුකෙරෙන,['සිදුකරන']
4556,විමසූහ,"['විමසූ', ' විසූහ']"
4557,වළහා,"['වලහා', ' වළ', ' වහා']"
4558,පුටුවක්,"['පුවක්', ' පුටුව']"
4559,ගැහැණු,"['ගැණු', ' ගැහැනු']"
4560,නැකත,"['නැත', ' කත']"
4561,බවත්ය,"['බවත්', ' බවය']"
4562,දැමුවා,['මුවා']
4563,පුරන,"['නපුර', ' පුර']"
4564,විස්මය,['විස්ම']
4565,සිවුර,"['සිර', ' සිවු']"
4566,කොල,"['කොළ', ' කල', ' කො']"
4567,ඉස්සරහ,['ඉස්සර']
4568,තනිවම,"['තවම', ' තනිව']"
4569,පසුම්බිය,['පසුම්බි']
4570,සතරක්,['සතර']
4571,වලව්වට,"['වළව්වට', ' වලව්ව']"
4572,සුදුසුම,"['සුදුසුම', ' සුසුම', ' දුම', ' සුදුසු']"
4573,මෙයත්,"['මෙත්', ' මෙය']"
4574,පැහැදීම,"['පැහැදී', ' හැදීම', ' පැදීම']"
4575,හිමිවී,['හිමි']
4576,පියයුරු,['පියරු']
4577,අප්පු,['අප්']
4578,සුරංගනා,"['සුරංග', ' රංගනා']"
4579,අමාරු,"['අරුමා', ' අමා', ' මාරු']"
4580,පුරුෂයන්,['පුරුෂය']
4581,වැවෙන්,"['වෙන්', ' වැවෙ']"
4582,පැන්සල්,['පැන්ස']
4583,නිවෙසේ,"['වෙසේ', ' නිවසේ']"
4584,සේනාවක්,['සේනාව']
4585,විමසීය,"['විසීය', ' විමසී']"
4586,පැවසෙන,['පැසෙන']
4587,තැකිය,['කිය']
4588,ස්මාර්ට්,['ස්මාට්']
4589,මැදියම්,['මැදිය']
4590,සැමියන්,['සැමිය']
4591,ගෙඩියක,"['ගෙඩිය', ' ගෙයක']"
4592,කඩන්න,"['කඩන', ' කන්න']"
4593,විරාමයක්,['විරාමය']
4594,පවත්වනවා,['පවත්වන']
4595,වායුගෝලයට,['වායුගෝලය']
4596,දඹුල්ලේ,"['දබුල්ලේ', ' දල්ලේ']"
4597,පතමින්,['පතමි']
4598,යහළුවෝ,['යහළුව']
4599,නිවීමට,"['වීමට', ' නිවීම']"
4600,හාමිනේ,['හාමි']
4601,නෑයෝ,"['නෑය', ' යෝ']"
4602,දෙවියා,['දෙවි']
4603,කුඩය,['කුඩ']
4604,මන්දිරයක්,['මන්දිරය']
